"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1985 <= Year >= 2024""]"																																						
	1986	8	3	1	33	20.3			"TURKEY:  YESILCE,  UCGOZE, SAM"	37.2	37.3	12	4.1									1	73	2										1	73	2		
	1986	8	30	21	28	35.4			"ROMANIA:  BUCHAREST, KISHINEV-KAGUL"	45.547	26.316	132	6.9	8	2	1			558	3	730	4			55000	4	2	1			558	3	730	4			55000	4
	1986	9	13	17	24	31.4			"GREECE:  KALAMI, LAKONIA, ZAKINTHOS"	37.014	22.176	11	5.8	10	20	1			300	3	5	2	1500	4			20	1			300	3			1500	4		
	1986	9	15	11	41	27.8			"GREECE:  S, MESSINIA, BERGA, NEDOUSA"	36.93	22.175	10	4.8	7					37	1		1									37	1		1				
	1986	10	5	18	53	20.9			"SOUTH AFRICA:  MOUNT FRERE, DURBAN"	-30.546	28.737	5	4.8	4								1												1				
	1986	10	10	17	49	24.1			"EL SALVADOR:  SAN SALVADOR"	13.827	-89.118	7	5.4		1100	4			10000	4	1500	4					1100	4			20000	4	1500	4				
	1986	10	11	9	0	10.5			"TURKEY:  AYDIN, DENIZLI-IZMIR-MANISA"	37.931	28.574	5	5.5						3	1		1	50	1							3	1		2	50	1		
	1986	10	16	19	54	10.4			"PAKISTAN:  KHUZDAR"	27.727	66.65	43	4.5									1	150	3	150	3								1	150	3		
	1986	10	20	6	46	9.9	2166		"KERMADEC ISLANDS:  RAOUL"	-28.117	-176.367	29	8.1									1												1				
	1986	11	14	21	20	10.5	3507		"TAIWAN:  TAIPEI, HUALIEN"	23.901	121.574	34	7.8	8	15	1			44	1		1					15	1			50	1		1				
	1986	11	25	13	59	42.3			"BALKANS NW:  BOSNIA-HERZEGOVINA: STRMICA, KNIN"	44.12	16.339	30	5.5	8					12	1		2									12	1		2				
	1986	11	30	5	19	48.2			"BRAZIL:  JOAO CAMARA, NATAL"	-5.494	-35.769	5	4.8		1	1					5	2	1500	4			1	1					5	2	1500	4		
	1986	12	7	14	17	9.5			"BULGARIA:  VELIKO TURNOVO-TURGOVISHTE"	43.274	25.912	21	5.6	7	3	1			60	2	5	2					3	1			60	2	5	2				
	1986	12	19	5	47	29			"CHILE:  CENTRAL, VALPARAISO"	-33.071	-72.084	33	5	3						2		1	16	1								2		1	16	1		
	1986	12	20	23	47	8.9			"IRAN:  S MAMASANI, SHIRAZ, NORABAD"	29.985	51.623	26	5									2	80	2										2	80	2		
	1987	1	5	22	52	46.5			"CHINA:  S XINJIANG PROVINCE:  BAICHENG"	41.964	81.319	17	5.8							3		2										3		2				
	1987	1	24	8	9	21.3			"CHINA:  XINGJIANG WEIWUER ZIZHIQU PROVINCE, WUSHI"	41.529	79.318	29	5.9									2	417	3										2	417	3		
	1987	1	26	11	11	41.8			"ALGERIA:  MOHAMMADIA, QUED, FODDA, TISSEMSILT"	35.964	1.374	10	4.3		1	1			7	1	1	2	629	3			1	1			7	1	1	2	629	3		
	1987	2	6	13	16	17.8	2167		"JAPAN:  EAST COAST HONSHU"	36.988	141.689	48	6.3																									
	1987	2	8	18	33	58.3	2168		"PAPUA NEW GUINEA:  HUON PENINSULA, UMBOI ISLAND"	-6.088	147.689	55	7.6	7	3	1					2.625	2		3			3	1					2.625	2		3		
	1987	3	2	1	42	34.1			"NEW ZEALAND:  NORTH ISLAND, WHAKATANI, EDGECUMBE"	-37.965	176.765	19	6.6	10	1	1			25	1	210	4					1	1			25	1	210	4				
	1987	3	5	9	17	5.2	2169		"CHILE:  ANTOFAGASTA, ARICA"	-24.388	-70.161	62	7.3	6	1	1						2					1	1						2				
	1987	3	6	4	10	44.4			"ECUADOR:  NAPO PROVINCE, QUITO, TULCAN"	0.083	-77.785	10	7.2		5000	4					1500	4					5000	4					1500	4				
	1987	3	18	3	36	30.3	2170		"JAPAN:  KYUSHU:  MIYAZAKI, NAZE"	32.034	131.837	54	6.7		2	1			5	1		2					2	1			5	1		2				
	1987	3	24	12	49	47	2171		"JAPAN:  HONSHU ISLAND"	37.447	137.865	23	5.1																									
	1987	4	25	12	16	52.4			"PHILIPPINES:  MANILA, CUBI POINT"	16.066	120.301	107	6.3	5								1												1				
	1987	4	25	19	22	7.2			"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,"	2.244	98.866	11	6.6		2	1			22	1	1	2	300	3			2	1			22	1	1	2	300	3		
	1987	5	23	17	9	4.4			"PHILIPPINES:  MINDANAO:  TALAKAG-MALAYBALAY"	8.047	125.41	32	5.2	2	1	1			2	1		1					1	1			2	1		1				
	1987	5	29	6	27	50.7			"IRAN:  W, NAHAVAND-HAMADEN-TUYSARKAN"	34.076	48.266	41	4.6		2	1			50	1		1					2	1			50	1		1				
	1987	6	18	14	3	16.7	2172		"SOLOMON ISLANDS"	-10.717	162.33	75	6.3																									
	1987	7	6	2	49	42.7	2173		"VANUATU ISLANDS"	-14.074	167.828	48	6.6																									
	1987	8	2	9	7	35.5			"CHINA:  GANZHOU PROVINCE:  XUNWU"	24.924	115.608	29	4.9	4					84	2		3	37000	4							84	2		3	37000	4		
	1987	8	8	15	48	56.7			"CHILE:  ARICA, IQUIQUE"	-19.022	-69.991	70	6.9	7	5	1			112	3	1	2	1000	3			5	1			112	3	1	2	1000	3		
	1987	8	13	15	23	6.9			"CHILE:  ARICA; PERU:  AREQUIPA, TACNA"	-17.897	-70.931	37	6.4	5	1	1			1	1		1					1	1			1	1		1				
	1987	9	3	6	40	13.9			"AUSTRALIA:  MACQUARIE ISLAND"	-58.893	158.513	33	7.7																									
	1987	9	4	16	42	49.1			"ITALY:  PORTO SAN GIORGIO-PERMO-PDEASO AREA"	43.242	13.874	19	4.6	8					2	1		2									2	1		2				
