,date,location,latitude,longitude,depth_km,earthquake_magnitude,tsunami_event_id,runup_count,max_water_height_m,min_source_dist_km,max_source_dist_km,unique_countries_count,countries
91,2000-07-01 07:01:55.500,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,10.0,6.1,2340,4,0.07,36.68445435738961,100.2462968750979,1,JAPAN
92,2000-06-18 14:44:13.300,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,10.0,7.9,2341,1,0.3,196.13241220333484,196.13241220333484,1,AUSTRALIA
93,2000-11-16 04:54:55.900,"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-4.001,152.327,17.0,8.0,2352,9,3.0,29.204044180120174,2313.153868299132,3,"PAPUA NEW GUINEA, SOLOMON ISLANDS, VANUATU"
94,2001-06-23 20:33:14.100,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,33.0,8.4,2373,135,8.77,5.097402409864089,17842.824014040267,17,"PERU, CHILE, ECUADOR, MEXICO, USA, USA TERRITORY, KIRIBATI, COOK ISLANDS, SAMOA, FIJI, TONGA, NEW ZEALAND, VANUATU, MARSHALL ISLANDS, REP. OF, RUSSIA, JAPAN, CANADA"
95,2002-03-05 21:16:09.100,PHILIPPINES:  MINDANAO,6.033,124.249,31.0,7.5,2394,2,3.0,20.670876170117737,41.49036611179864,1,PHILIPPINES
96,2002-03-31 06:52:50.400,TAIWAN:  TAIPEI,24.279,122.179,33.0,7.1,2396,7,0.2,66.9455743081647,219.26928527047423,2,"TAIWAN, JAPAN"
97,2002-01-02 17:22:48.700,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,21.0,7.2,2397,2,3.0,50.60136984936808,50.91251579682153,1,VANUATU
98,2002-09-08 18:44:25.500,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,13.0,7.6,2398,80,5.5,9.178643419411024,4238.616011663203,4,"JAPAN, MICRONESIA, FED. STATES OF, PAPUA NEW GUINEA, USA TERRITORY"
99,2003-01-20 08:43:06.000,"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,33.0,7.3,2401,2,2.0,81.3078913006509,147.59498181883043,1,SOLOMON ISLANDS
100,2003-01-22 02:06:34.600,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,24.0,7.5,2402,6,0.61,39.27595047232999,4109.1980507763965,2,"MEXICO, CANADA"
101,2003-05-21 18:44:20.100,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.964,3.634,12.0,6.8,2403,23,3.0,54.25270245049822,939.4131535911991,4,"SPAIN, FRANCE, ITALY, ALGERIA"
102,2001-12-18 04:02:58.200,TAIWAN,23.954,122.734,14.0,6.8,2404,6,0.16,59.157957091824294,151.5758601348648,2,"JAPAN, TAIWAN"
103,2003-09-25 19:50:06.300,JAPAN:  HOKKAIDO,41.815,143.91,27.0,8.3,2406,234,4.4,55.85303834115931,7900.595593611365,4,"JAPAN, USA, USA TERRITORY, CANADA"
104,2003-10-31 01:06:28.200,JAPAN:  EAST COAST HONSHU,37.812,142.619,10.0,7.0,2428,4,0.32,112.15575102976504,211.3970173244141,1,JAPAN
105,2003-11-17 06:43:06.800,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,33.0,7.8,2429,20,0.33,337.0939253709312,14894.046035839578,3,"USA, KIRIBATI, CHILE"
106,2004-09-05 10:07:07.800,JAPAN:  HONSHU:  W COAST: KYOTO,33.07,136.618,14.0,7.2,2436,12,0.63,85.46837471077414,852.8424515300428,1,JAPAN
107,2004-09-05 14:57:18.600,"JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI",33.184,137.071,10.0,7.4,2437,24,0.93,116.2923112545309,836.0626359024583,1,JAPAN
108,2004-12-26 00:58:53.500,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,3.295,95.982,30.0,9.1,2439,1974,50.9,56.626249905276325,19265.83039667312,46,"PERU, CHILE, USA TERRITORY, VANUATU, USA, MEXICO, RUSSIA, AUSTRALIA, NEW ZEALAND, INDIA, NEW CALEDONIA, TONGA, FIJI, FRENCH POLYNESIA, EL SALVADOR, ECUADOR, CANADA, SEYCHELLES, KENYA, INDONESIA, THAILAND, MALDIVES, SRI LANKA, OMAN, MAURITIUS, TANZANIA, UK TERRITORY, SOUTH AFRICA, BERMUDA (UK TERRITORY), UK, ANTARCTICA, FRANCE, MALAYSIA, BRAZIL, MYANMAR (BURMA), COMOROS, SOMALIA, MADAGASCAR, REUNION (FRENCH TERRITORY), FRENCH SOUTHERN AND ANTARCTIC TERRITORIES, YEMEN, GHANA, ARGENTINA, BANGLADESH, IRAN, URUGUAY"
109,2005-01-19 06:11:36.400,JAPAN:  EAST COAST HONSHU,34.064,141.491,28.0,6.6,2466,11,0.39,179.20304815419718,534.0638452656699,1,JAPAN
110,2005-03-28 16:09:36.500,INDONESIA:  SUMATERA:  SW,2.085,97.108,30.0,8.6,2487,67,4.2,1.3119226172848033,7093.298977809064,9,"INDONESIA, SRI LANKA, MALDIVES, MAURITIUS, SEYCHELLES, OMAN, KENYA, AUSTRALIA, REUNION (FRENCH TERRITORY)"
111,2005-04-10 10:29:11.200,INDONESIA:  PADANG,-1.644,99.607,19.0,6.7,2507,1,0.4,111.3787329054324,111.3787329054324,1,INDONESIA
112,2005-06-15 02:50:53.100,CALIFORNIA:  OFF COAST NORTHERN,41.301,-125.97,10.0,7.2,2547,5,0.1,157.03247892386366,872.6529640486531,2,"USA, CANADA"
113,2005-08-16 02:46:28.400,JAPAN:  EAST COAST HONSHU,38.276,142.039,36.0,7.2,2548,1,0.05,42.95486832730056,42.95486832730056,1,JAPAN
114,1994-06-03 21:06:59.800,INDONESIA:  JAVA,-10.362,112.892,26.0,6.6,2592,1,3.7,307.5529555794921,307.5529555794921,1,INDONESIA
