country,location,tsunami_count
Japan,EBUEGAWA,1
Japan,EI,1
Japan,ENOSHIMA,2
Japan,ERIMO,2
Japan,ERIMO PORT,1
Japan,ERIMO-GYOKO,1
Japan,ERIMO-KO,1
Japan,ERIMOTOYO,1
Japan,ESASHI,4
Japan,ESASHIKO,3
Japan,FUEMAI,1
Japan,FUEMAI-GYOKO,1
Japan,FUKAURA,3
Japan,FUKUE,1
Japan,FUKUIKO (KEN),1
Japan,FUKUSHIMA I POWER PLANT DAIICHI,1
Japan,FUKUSHIMA II POWER PLANT DAINI,1
Japan,"FUKUSHIMA PREFECTURE, TOHOKU REGION",1
Japan,FUNAGAWAKO,1
Japan,"FUNAMI PARK, JOETSU",1
Japan,FURONO-GYOKO,1
Japan,FUSHIKIKO,1
Japan,FUSHIKO,1
Japan,FUYUSHIMA,1
Japan,GENNA,1
Japan,GOBO,3
